ID_Trabajador,Nombre_Completo,RUT,Tipo_Turno,Nombre_Turno,Cargo,Es_Conductor,Fecha_Registro,Estado_Asistencia
TRB-069,Mario Muñoz Acuña,15.463.637-4,4x3,Turno A,Técnico de Mantenimiento,No,2024-03-03 00:00:00,Presente
TRB-056,Roberto Poblete Sandoval,18.150.790-K,4x3,Turno B,Mecánico,No,2024-03-05 00:00:00,Ausente 
TRB-105,Héctor López Muñoz,9.041.193-4,7x7,Turno D,Electricista,No,2024-03-05 00:00:00,Presente 
TRB-027,Andrés Bravo Reyes,16.034.686-8,4x3,Turno B,Operador de Equipo,Sí,2024-03-15 00:00:00,
TRB-068,Francisco Araya Vargas,16.952.514-5,4x3,Turno A,Supervisor de Turno,No,2024-03-05 00:00:00,Presente
TRB-099,Fernando Aguilar Rodríguez,21.047.882-5,7x7,Turno D,Mecánico,No,2024-03-19 00:00:00,Presente
TRB-030,Sergio Cortés Torres,14.749.509-9,4x3,Turno B,Controlista,No,08/03/2024,Presente
TRB-116,Gabriel Poblete Vargas,23.593.028-5,7x7,Turno D,Técnico de Mantenimiento,No,2024-03-16 00:00:00,Licencia Médica
TRB-044,Carlos Pizarro Flores,23.267.547-0,4x3,Turno A,Bodeguero,No,2024-03-05 00:00:00,Presente
TRB-032,Héctor López Espinoza,8.705.792-5,4x3,Turno A,Operador de Planta,No,2024-03-09 00:00:00,Presente
TRB-013,Rodrigo Miranda Silva,16.214.491-K,4x3,Turno C,Mecánico,No,2024-03-23 00:00:00,Presente
TRB-093,Francisco Carrasco Sandoval,10.703.737-3,7x7,Turno D,Mecánico,No,2024-03-06 00:00:00,Presente
TRB-050,Ignacio Contreras Miranda,9.333.508-2,4x3,Turno A,Operador de Camión,Sí,2024-03-11 00:00:00,Presente
TRB-062,Roberto Poblete Navarro,22.350.791-3,4x3,Turno A,Mecánico,No,2024-03-14 00:00:00,Presente
